tconst	titleType	title	year	endYear	isAdult	runtime	genres	rating	numVotes	description	cast	streaming_platforms	url	scrape_status
tt0109686	movie	Dumb and Dumber	1994.0	\N	0.0	107	Comedy	7.3	434458.0	"Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart."			https://www.streamwithvpn.com/dumb-and-dumber-1994	success
tt7784604	movie	Hereditary	2018.0	\N	0.0	127	Drama,Horror,Mystery	7.3	434222.0	Following the death of the Leigh family matriarch, Annie and her children uncover disturbing secrets about their heritage. Their daily lives are not only impacted, but they also become entangled in a chilling fate from which they cannot escape, driving them to the brink of madness.			https://www.streamwithvpn.com/hereditary-2018	success
tt0035015	movie	The Magnificent Ambersons	1942.0	\N	0.0	88	Drama,Romance	7.6	28193.0	The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.			https://www.streamwithvpn.com/the-magnificent-ambersons-1942	success
tt1596343	movie	Fast Five	2011.0	\N	0.0	130	Action,Crime,Thriller	7.3	425748.0	Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom.			https://www.streamwithvpn.com/fast-five-2011	success
tt0049470	movie	The Man Who Knew Too Much	1956.0	\N	0.0	120	Crime,Drama,Mystery	7.4	74496.0	A couple vacationing in Morocco with their young son accidentally stumble upon an assassination plot. When the child is kidnapped to ensure their silence, they have to take matters into their own hands to save him.			https://www.streamwithvpn.com/the-man-who-knew-too-much-1956	success
tt0119094	movie	Face/Off	1997.0	\N	0.0	138	Action,Crime,Sci-Fi	7.3	419125.0	In order to foil a terrorist plot, an FBI agent undergoes facial transplant surgery and assumes the identity of a criminal mastermind. The plan turns sour when the criminal wakes up prematurely and seeks revenge.			https://www.streamwithvpn.com/faceoff-1997	success
tt0383694	movie	Vera Drake	2004.0	\N	0.0	125	Crime,Drama	7.6	28085.0	Abortionist Vera Drake finds her beliefs and practices clash with the mores of 1950s Britain – a conflict that leads to tragedy for her family.			https://www.streamwithvpn.com/vera-drake-2004	success
tt0111257	movie	Speed	1994.0	\N	0.0	116	Action,Adventure,Thriller	7.3	414402.0	Jack Traven, an LAPD cop on SWAT detail, and veteran SWAT officer Harry Temple thwart an extortionist-bomber's scheme for a $3 million ransom. As they corner the bomber, he flees and detonates a bomb vest, seemingly killing himself. Weeks later, Jack witnesses a mass transit city bus explode and nearby a pay phone rings. On the phone is that same bomber looking for vengeance and the money he's owed. He gives a personal challenge to Jack: a bomb is rigged on another city bus - if it slows down below 50 mph, it will explode - bad enough any day, but a nightmare in LA traffic. And that's just the beginning...			https://www.streamwithvpn.com/speed-1994	success
tt0112682	movie	The City of Lost Children	1995.0	\N	0.0	112	Adventure,Drama,Fantasy	7.4	74013.0	A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.			https://www.streamwithvpn.com/the-city-of-lost-children-1995	success
tt0074860	movie	Marathon Man	1976.0	\N	0.0	125	Crime,Drama,Thriller	7.4	73966.0	A graduate student and obsessive runner in New York is drawn into a mysterious plot involving his brother, a member of the secretive Division.			https://www.streamwithvpn.com/marathon-man-1976	success
