tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes	weightedRating	top_3_cast
tt0903747	tvSeries	Breaking Bad	Breaking Bad	0	2008	2013	45	Crime,Drama,Thriller	9.5	2405005	9.486873634727049	[('Bryan Cranston', 'Walter White'), ('Aaron Paul', 'Jesse Pinkman'), ('Anna Gunn', 'Skyler White')]
tt0111161	movie	The Shawshank Redemption	The Shawshank Redemption	0	1994	\N	142	Drama	9.3	3104334	9.290476128645675	"[('Tim Robbins', 'Andy Dufresne'), ('Morgan Freeman', ""Ellis Boyd 'Red' Redding""), ('Bob Gunton', 'Warden Norton')]"
tt0417299	tvSeries	Avatar: The Last Airbender	Avatar: The Last Airbender	0	2005	2008	23	Action,Adventure,Animation	9.3	417720	9.23068263551759	[('Dee Bradley Baker', 'Appa'), ('Zach Tyler Eisen', 'Aang'), ('Mae Whitman', 'Katara')]
tt0306414	tvSeries	The Wire	The Wire	0	2002	2008	60	Crime,Drama,Thriller	9.3	413512	9.22999422942848	"[('Dominic West', ""Detective James 'Jimmy' McNulty""), ('Lance Reddick', 'Lieutenant Cedric Daniels'), ('Sonja Sohn', ""Detective Shakima 'Kima' Greggs"")]"
tt0944947	tvSeries	Game of Thrones	Game of Thrones	0	2011	2019	60	Action,Adventure,Drama	9.2	2485498	9.188523374322145	[('Emilia Clarke', 'Daenerys Targaryen'), ('Peter Dinklage', 'Tyrion Lannister'), ('Kit Harington', 'Jon Snow')]
tt0068646	movie	The Godfather	The Godfather	0	1972	\N	175	Crime,Drama	9.2	2163561	9.186823672001363	[('Marlon Brando', 'Don Vito Corleone'), ('Al Pacino', 'Michael'), ('James Caan', 'Sonny')]
tt0141842	tvSeries	The Sopranos	The Sopranos	0	1999	2007	60	Crime,Drama	9.2	545115	9.148421883935024	[('James Gandolfini', 'Tony Soprano'), ('Lorraine Bracco', 'Dr. Jennifer Melfi'), ('Edie Falco', 'Carmela Soprano')]
tt0468569	movie	The Dark Knight	The Dark Knight	0	2008	\N	152	Action,Crime,Drama	9.1	3079402	9.091059698803372	[('Christian Bale', 'Bruce Wayne'), ('Heath Ledger', 'Joker'), ('Aaron Eckhart', 'Harvey Dent')]
tt2560140	tvSeries	Attack on Titan	Shingeki no Kyojin	0	2013	2023	24	Action,Adventure,Animation	9.1	649760	9.058146102184809	[('Jessie James Grelle', 'Armin Arlert'), ('Bryce Papenbrook', 'Eren Jaeger'), ('Trina Nishimura', 'Mikasa Ackermann')]
tt14392248	tvSeries	Aspirants	Aspirants	0	2021	\N	45	Drama	9.1	316623	9.015483908989948	[('Naveen Kasturia', 'Abhilash Sharma'), ('Shivankit Singh Parihar', 'Guri'), ('Abhilash Thapliyal', 'SK')]
